r,c,f
12500000.0,883.2000350952148,0.0
22499999.403953552,1324.7999649047852,229.49999392032623
17499999.701976776,1324.7999649047852,229.49999392032623
22499999.403953552,1324.7999649047852,229.49999392032623
12500000.0,294.40000438690186,178.49999696016312
7500000.298023224,441.6000175476074,0.0
12500000.0,1324.7999649047852,178.49999696016312
2500000.037252903,294.40000438690186,76.50000303983688
7500000.298023224,441.6000175476074,76.50000303983688
10000000.149011612,1324.7999649047852,127.5
17499999.701976776,1177.6000175476074,0.0
2500000.037252903,883.2000350952148,229.49999392032623
0.0,0.0,204.00000303983688
15000000.596046448,147.20000219345093,51.00000075995922
22499999.403953552,1177.6000175476074,0.0
0.0,1030.3999824523926,102.00000151991844
15000000.596046448,0.0,51.00000075995922
7500000.298023224,441.6000175476074,25.50000037997961
20000000.298023224,1030.3999824523926,229.49999392032623
0.0,0.0,229.49999392032623
20000000.298023224,1324.7999649047852,25.50000037997961
0.0,1030.3999824523926,25.50000037997961
0.0,1030.3999824523926,25.50000037997961
17499999.701976776,1324.7999649047852,51.00000075995922
15000000.596046448,147.20000219345093,25.50000037997961
20000000.298023224,1030.3999824523926,25.50000037997961
17499999.701976776,294.40000438690186,0.0
22499999.403953552,1030.3999824523926,127.5
17499999.701976776,0.0,204.00000303983688
20000000.298023224,1177.6000175476074,51.00000075995922
12500000.0,0.0,51.00000075995922
7500000.298023224,294.40000438690186,51.00000075995922
22499999.403953552,588.8000087738037,178.49999696016312
5000000.074505806,441.6000175476074,25.50000037997961
10000000.149011612,1324.7999649047852,204.00000303983688
22499999.403953552,883.2000350952148,51.00000075995922
10000000.149011612,1324.7999649047852,204.00000303983688
22499999.403953552,1177.6000175476074,0.0
0.0,588.8000087738037,0.0
7500000.298023224,1324.7999649047852,204.00000303983688
0.0,1030.3999824523926,51.00000075995922
2500000.037252903,294.40000438690186,204.00000303983688
22499999.403953552,588.8000087738037,153.00000607967377
10000000.149011612,0.0,0.0
0.0,294.40000438690186,178.49999696016312
12500000.0,1324.7999649047852,229.49999392032623
20000000.298023224,0.0,51.00000075995922
5000000.074505806,1324.7999649047852,229.49999392032623
0.0,883.2000350952148,25.50000037997961
22499999.403953552,1177.6000175476074,127.5
17499999.701976776,1030.3999824523926,127.5
