delay,loss,goodput
169.5,0.5230126222717356,12500.0
225.0,0.8107165360968593,12500.0
300.0,0.8014031889782373,12500.0
247.5,0.21192613783002792,12500.0
274.5,0.1361901876819303,12500.0
295.5,0.7205328341067266,12500.0
259.5,0.1709467441784586,12500.0
154.5,0.6351586316100984,12500.0
229.5,0.5306076681266216,12500.0
184.5,0.6061983433457833,12500.0
255.0,0.15197912349753895,12500.0
160.5,0.6584300682871244,12500.0
240.0,0.8970825396208273,12500.0
220.5,0.2528753501281852,12500.0
232.5,0.46066642052301926,12500.0
282.0,0.9105744164585322,12500.0
255.0,0.3999715966724114,12500.0
211.5,0.4894054840982043,12500.0
235.5,0.43687428391298255,12500.0
286.5,0.17268253170195583,12500.0
273.0,0.21820421833395995,12500.0
199.5,0.33007581367549693,12500.0
178.5,0.21958175406428018,12500.0
243.0,0.7857577816403664,12500.0
217.5,0.1428822293014497,12500.0
297.0,0.6043277170481165,12500.0
246.0,0.17188182445890204,12500.0
253.5,0.7556319980470732,12500.0
177.0,0.7099354350745654,12500.0
255.0,0.28388936741317283,12500.0
283.5,0.12002589568531735,12500.0
175.5,0.5475661822854182,12500.0
279.0,0.152152957497502,12500.0
220.5,0.8208248219915127,12500.0
259.5,0.8153902416874024,12500.0
268.5,0.5064146267627941,12500.0
210.0,0.33875972771057333,12500.0
202.5,0.3539389101440485,12500.0
154.5,0.3785946265099303,12500.0
225.0,0.7510331974865561,12500.0
196.5,0.32754671141918856,12500.0
168.0,0.7519388835191999,12500.0
297.0,0.3804277513440706,12500.0
153.0,0.6972678790914704,12500.0
157.5,0.6385250414212282,12500.0
213.0,0.3333035754966017,12500.0
190.5,0.0678785819147506,12500.0
277.5,0.3303654492781042,12500.0
235.5,0.4444545638908519,12500.0
294.0,0.3207240469667431,12500.0
198.0,0.049248985988522814,12500.0
273.0,0.5191070985248639,12500.0
252.0,0.06539070192018444,12500.0
174.0,0.44528374974497786,12500.0
213.0,0.258271342436787,12500.0
294.0,0.6543811812243104,12500.0
277.5,0.1961137643317292,12500.0
222.0,0.6461696990761998,12500.0
250.5,0.6091472279815279,12500.0
222.0,0.2200248328781236,12500.0
231.0,0.1648693248499487,12500.0
291.0,0.5655159082450454,12500.0
291.0,0.8203988889532311,12500.0
277.5,0.30237883423079465,12500.0
226.5,0.0328245262540629,12500.0
171.0,0.6706839549607272,12500.0
231.0,0.42510339238538464,12500.0
298.5,0.1699753499415736,12500.0
208.5,0.5065303058266497,12500.0
181.5,0.7216261855931392,12500.0
267.0,0.13040770290991957,12500.0
282.0,0.5606311391481577,12500.0
219.0,0.7669464418279112,12500.0
265.5,0.4991646377437335,12500.0
226.5,0.6662627240800973,12500.0
172.5,0.7071780236424958,12500.0
169.5,0.10291465850978268,12500.0
187.5,0.0050662760305548,12500.0
178.5,0.4958741946337261,12500.0
274.5,0.3420311905748826,12500.0
283.5,0.12178974374335715,12500.0
222.0,0.3828904158350517,12500.0
241.5,0.6303913208777755,12500.0
270.0,0.45742378569197106,12500.0
172.5,0.0168388726090329,12500.0
229.5,0.7087249748406524,12500.0
255.0,0.8221149975153403,12500.0
195.0,0.4555535678113231,12500.0
160.5,0.5634469310502591,12500.0
279.0,0.4415132716871693,12500.0
172.5,0.5127635817638587,12500.0
217.5,0.5625482994038581,12500.0
244.5,0.4990127265037567,12500.0
183.0,0.8048642314251473,12500.0
246.0,0.7902426790079158,12500.0
204.0,0.0746510703107024,12500.0
291.0,0.4847658990519633,12500.0
268.5,0.7548826551750822,12500.0
160.5,0.7659272498370573,12500.0
171.0,0.7710377471595279,12500.0
202.5,0.2459072339673995,12500.0
180.0,0.5395103964485072,12500.0
277.5,0.3574188451676795,12500.0
291.0,0.2353445932959867,12500.0
255.0,0.694213223210447,12500.0
171.0,0.5144467862495181,12500.0
163.5,0.3489768278788388,12500.0
163.5,0.5639075553438431,12500.0
205.5,0.43608401843327826,12500.0
238.5,0.5445326658158085,12500.0
178.5,0.4211796084007757,12500.0
186.0,0.4015577515182317,12500.0
157.5,0.1696002882251247,12500.0
159.0,0.6025983075641843,12500.0
234.0,0.3222477188966269,12500.0
210.0,0.29993705723870284,12500.0
276.0,0.32801407745877303,12500.0
162.0,0.7901259833786995,12500.0
151.5,0.6556117856657401,12500.0
213.0,0.5384780115130274,12500.0
300.0,0.3451839595628221,12500.0
294.0,0.41981889048747967,12500.0
282.0,0.643326136603368,12500.0
187.5,0.5166535229755953,12500.0
168.0,0.21078335546136318,12500.0
253.5,0.22289524481422907,12500.0
274.5,0.1957840917770714,12500.0
258.0,0.36397906064512997,12500.0
202.5,0.3641941256744489,12500.0
165.0,0.5086220161564597,12500.0
244.5,0.5078814135393469,12500.0
202.5,0.5038065721125988,12500.0
190.5,0.8291077263216514,12500.0
253.5,0.6655702437956679,12500.0
216.0,0.23180380469361,12500.0
153.0,0.3797092391226029,12500.0
172.5,0.1578764293194994,12500.0
273.0,0.41723571869729636,12500.0
240.0,0.0889595584572192,12500.0
277.5,0.734452061979919,12500.0
153.0,0.4462435403018388,12500.0
184.5,0.6312084361911,12500.0
238.5,0.2533987009585157,12500.0
256.5,0.7896478140055192,12500.0
277.5,0.7490995074373552,12500.0
226.5,0.44413384830117925,12500.0
243.0,0.15413878963157554,12500.0
226.5,0.3083624132542398,12500.0
166.5,0.6818326485109144,12500.0
295.5,0.6525649360545656,12500.0
253.5,0.40800200569929346,12500.0
271.5,0.47255943920691273,12500.0
154.5,0.8043618083792553,12500.0
259.5,0.2168958377461577,12500.0
222.0,0.2826689491381672,12500.0
280.5,0.5172366429768727,12500.0
222.0,0.5385242666126933,12500.0
226.5,0.08924829395162502,12500.0
154.5,0.4599428086313233,12500.0
217.5,0.7370740608896602,12500.0
262.5,0.6818157584393325,12500.0
292.5,0.4018649557734327,12500.0
222.0,0.0294280673371567,12500.0
249.0,0.49496842215421594,12500.0
211.5,0.8660599863508095,12500.0
300.0,0.5346124782610013,12500.0
277.5,0.3183610678923897,12500.0
240.0,0.34449427661606447,12500.0
190.5,0.44320895185897385,12500.0
288.0,0.31038524252839605,12500.0
198.0,0.44805274407143186,12500.0
273.0,0.34790489891990234,12500.0
258.0,0.7604963745863185,12500.0
244.5,0.8059814355158088,12500.0
289.5,0.04300257250144527,12500.0
184.5,0.5606219992991687,12500.0
259.5,0.6538541931825733,12500.0
241.5,0.5654262946465949,12500.0
208.5,0.6980365141756595,12500.0
159.0,0.1538906023602207,12500.0
162.0,0.2395117565714648,12500.0
160.5,0.493668298363244,12500.0
154.5,0.6848628053246103,12500.0
160.5,0.4850076294825059,12500.0
174.0,0.7056508821991713,12500.0
184.5,0.42386802640184684,12500.0
186.0,0.19965793144291205,12500.0
216.0,0.6639140945022095,12500.0
243.0,0.1236384159305828,12500.0
229.5,0.36646170266954436,12500.0
186.0,0.2935888221861103,12500.0
178.5,0.11359423262662,12500.0
244.5,0.9005204062586134,12500.0
192.0,0.290473109616241,12500.0
195.0,0.788081030408411,12500.0
297.0,0.4204835712922175,12500.0
175.5,0.731830174865305,12500.0
156.0,0.702547747995135,12500.0
238.5,0.24189349552752504,12500.0
